2018-12-22__20:36:09 0.64 68.00 36.00°C note
2018-12-22__20:36:15 0.63 33.00 36.00°C normal
2018-12-22__20:36:20 0.65 20.00 38.00°C normal
2018-12-22__20:36:26 0.66 68.00 38.00°C note
2018-12-22__20:36:32 0.66 6.00 37.00°C normal
2018-12-23__09:24:03 average:0.65 0.73  8.00 22.00°C normal
2018-12-23__09:24:09 average:0.59 0.72  2.00 21.00°C normal
2018-12-23__09:24:14 average:0.55 0.71  3.00 22.00°C normal
2018-12-23__09:24:20 average:0.62 0.72  1.00 22.00°C normal
2018-12-23__09:24:25 average:0.57 0.70  0.00 22.00°C normal
2018-12-23__09:24:31 average:0.61 0.71  4.00 22.00°C normal
2018-12-23__09:24:36 average:0.56 0.70  11.00 22.00°C normal
2018-12-23__09:24:42 average:0.51 0.68  1.00 22.00°C normal
2018-12-23__09:24:48 average:0.47 0.67  17.00 22.00°C normal
2018-12-23__09:24:53 average:0.51 0.68  10.00 22.00°C normal
2018-12-23__11:36:14 1.31 1.11 1.05 25.00 50.00°C normal
2018-12-23__11:36:20 1.29 1.11 1.05 37.00 51.00°C normal
2018-12-23__11:36:26 1.27 1.11 1.05 41.00 51.00°C normal
2018-12-23__11:36:31 1.14 1.09 1.04 30.00 51.00°C normal
2018-12-23__11:36:37 1.05 1.07 1.04 27.00 51.00°C normal
2018-12-23__11:36:43 1.05 1.07 1.04 29.00 51.00°C normal
2018-12-23__11:36:48 0.96 1.05 1.03 30.00 51.00°C normal
2018-12-23__11:36:54 0.97 1.05 1.03 41.00 50.00°C normal
2018-12-23__11:36:59 0.97 1.05 1.03 38.00 51.00°C normal
2018-12-23__11:37:05 0.89 1.03 1.02 67.00 51.00°C note
2018-12-23__11:37:11 1.14 1.08 1.04 44.00 51.00°C normal
2018-12-23__11:37:16 1.12 1.08 1.04 53.00 50.00°C note
2018-12-23__11:37:22 1.27 1.11 1.05 30.00 51.00°C normal
2018-12-23__11:37:28 1.17 1.09 1.04 34.00 49.00°C normal
2018-12-23__11:37:34 1.07 1.07 1.04 35.00 49.00°C normal
2018-12-23__11:37:39 0.99 1.06 1.03 33.00 49.00°C normal
2018-12-23__11:37:45 0.99 1.06 1.03 45.00 50.00°C normal
2018-12-23__11:37:51 1.07 1.07 1.04 50.00 51.00°C note
2018-12-23__11:37:56 1.05 1.07 1.04 33.00 49.00°C normal
2018-12-23__10:54:39 1.79 1.84 1.79 19.00 33.00°C normal
2018-12-23__10:54:47 1.51 1.78 1.77 25.00 33.00°C normal
2018-12-23__13:34:39 0.26 89.00 49.00°C warning
2018-12-23__13:34:45 0.26 7.00 48.00°C normal
2018-12-23__13:34:52 0.26 2.00 48.00°C normal
2018-12-23__13:34:58 0.26 29.00 49.00°C normal
2018-12-23__13:35:03 0.26 1.00 48.00°C normal
2018-12-23__13:35:09 0.26 4.00 48.00°C normal
2018-12-23__13:35:15 0.25 6.00 48.00°C normal
2018-12-23__13:35:20 0.25 2.00 48.00°C normal
2018-12-23__13:35:27 0.25 11.00 48.00°C normal
2018-12-23__13:35:33 0.25 35.00 48.00°C normal
2018-12-23__13:35:39 0.25 25.00 48.00°C normal
2018-12-23__13:35:44 0.26 1.00 48.00°C normal
2018-12-23__13:35:50 0.26 17.00 48.00°C normal
2018-12-23__13:35:56 0.26 22.00 48.00°C normal
2018-12-23__13:36:05 0.26 3.00 48.00°C normal
2018-12-23__13:36:11 0.25 8.00 48.00°C normal
2018-12-23__13:36:17 0.26 11.00 49.00°C normal
2018-12-23__13:36:22 0.26 38.00 49.00°C normal
2018-12-23__13:36:28 0.26 32.00 49.00°C normal
2018-12-23__13:36:34 0.25 6.00 48.00°C normal
2018-12-23__13:36:41 0.26 42.00 48.00°C normal
2018-12-23__13:36:46 0.26 8.00 48.00°C normal
2018-12-23__13:36:52 0.25 6.00 48.00°C normal
2018-12-23__13:36:57 0.25 7.00 48.00°C normal
2018-12-23__13:37:03 0.25 14.00 48.00°C normal
2018-12-23__13:37:09 0.25 17.00 48.00°C normal
2018-12-23__13:37:16 0.25 8.00 48.00°C normal
2018-12-23__13:37:22 0.25 2.00 48.00°C normal
2018-12-23__13:37:27 0.24 8.00 49.00°C normal
2018-12-23__13:37:33 0.26 2.00 48.00°C normal
2018-12-23__13:37:38 0.26 10.00 47.00°C normal
2018-12-23__13:37:44 0.28 6.00 48.00°C normal
2018-12-23__13:37:50 0.27 12.00 49.00°C normal
2018-12-23__13:37:55 0.27 8.00 49.00°C normal
2018-12-23__13:38:01 0.27 1.00 49.00°C normal
2018-12-23__13:38:07 0.27 1.00 48.00°C normal
2018-12-23__13:38:12 0.27 5.00 48.00°C normal
2018-12-23__13:38:18 0.27 8.00 48.00°C normal
2018-12-23__13:38:23 0.26 3.00 48.00°C normal
